Name,Age,Gender,US Educated,Years Experience,Subject,Teacher Rating
Lisa Thompson,30 to 50,female,No,more than 6,Music,proficient
Edward Smith,more than 50,male,No,more than 6,History,proficient
Julie Ramos,30 to 50,male,Yes,less than 3,Biology,satisfactory
Zachary Reed,less than 30,female,No,less than 3,Geography,satisfactory
Brianna Myers,30 to 50,male,No,3 to 6,Physical Education,proficient
Christopher Green,less than 30,female,No,3 to 6,Mathematics,satisfactory
Erica Ramirez,less than 30,female,No,more than 6,Computer Science,proficient
Annette Garcia,more than 50,female,Yes,less than 3,Physical Education,satisfactory
Erica Harvey,less than 30,female,No,less than 3,Physical Education,satisfactory
Sarah Ward,30 to 50,male,No,more than 6,Geography,proficient
Katrina Bender,30 to 50,female,No,more than 6,Mathematics,proficient
Valerie Rodriguez,more than 50,male,Yes,3 to 6,Music,satisfactory
Christopher Contreras,less than 30,female,Yes,3 to 6,Mathematics,proficient
Jennifer Thomas,less than 30,female,No,3 to 6,History,satisfactory
Tonya Benitez,30 to 50,male,No,3 to 6,Mathematics,satisfactory
Benjamin Frye,less than 30,male,No,3 to 6,Music,satisfactory
Casey Morrison,less than 30,male,Yes,3 to 6,Music,satisfactory
Amber Cohen,less than 30,male,No,less than 3,Physics,proficient
Barbara Stewart,30 to 50,male,No,more than 6,Art,proficient
Eduardo Clarke,less than 30,female,Yes,more than 6,Music,proficient
Jerome Wilcox,less than 30,male,Yes,more than 6,Music,proficient
Jason Coleman,more than 50,male,Yes,3 to 6,Music,satisfactory
Ricky Stone,30 to 50,male,No,less than 3,History,satisfactory
Steven Nguyen,less than 30,female,Yes,less than 3,Chemistry,unsatisfactory
Cynthia Moody,more than 50,female,Yes,3 to 6,English,satisfactory
Kelly Benson,30 to 50,female,No,more than 6,Music,proficient
Wesley Bates,30 to 50,male,Yes,3 to 6,Music,satisfactory
Andrew Drake,30 to 50,female,Yes,less than 3,Art,unsatisfactory
Amanda Robinson,more than 50,female,No,more than 6,Mathematics,proficient
Mr. Jose Petersen,30 to 50,male,No,3 to 6,Music,unsatisfactory
Edward Mayo,more than 50,female,Yes,less than 3,Geography,satisfactory
William Hebert,less than 30,male,Yes,less than 3,Chemistry,satisfactory
Jose Parker,more than 50,female,Yes,more than 6,History,proficient
Alexa Parrish,less than 30,female,No,less than 3,Physical Education,unsatisfactory
Jacqueline Turner,more than 50,male,No,3 to 6,English,satisfactory
Barbara Guerra,30 to 50,female,No,more than 6,Mathematics,proficient
Donna Johnson,30 to 50,male,Yes,less than 3,History,unsatisfactory
Anthony Moreno,30 to 50,male,Yes,more than 6,Geography,proficient
Joseph Stephens,less than 30,female,Yes,more than 6,Physical Education,proficient
Jose Wright,30 to 50,female,No,more than 6,Biology,proficient
Alicia Cooke,more than 50,male,Yes,more than 6,Physical Education,satisfactory
Lisa Hopkins,30 to 50,male,No,less than 3,Art,unsatisfactory
Matthew Collins,less than 30,male,No,more than 6,Computer Science,proficient
Zachary White,30 to 50,female,No,more than 6,Mathematics,satisfactory
Kara Garcia,more than 50,female,Yes,more than 6,Physics,proficient
Rebecca Cruz,less than 30,female,No,less than 3,Biology,proficient
Jessica Young,more than 50,female,No,3 to 6,Geography,satisfactory
Sarah Reese,more than 50,female,Yes,3 to 6,Music,satisfactory
Jessica Reese,less than 30,male,No,3 to 6,Chemistry,proficient
Douglas Mitchell,less than 30,male,No,3 to 6,History,satisfactory
Heather Mills,30 to 50,female,Yes,3 to 6,Mathematics,proficient
Shawn Brewer,30 to 50,male,No,less than 3,Art,satisfactory
Kevin Stevens,30 to 50,male,Yes,3 to 6,Physics,satisfactory
Alexander Simmons,more than 50,female,Yes,more than 6,Physical Education,unsatisfactory
Lisa James,30 to 50,female,No,more than 6,Physics,satisfactory
Daniel Garcia,more than 50,female,No,more than 6,Physics,proficient
